    1  1.900  0.000  CA
    2  1.900  0.021  ALA
    3  1.950  0.018  ARG1
    4  2.200 -0.056  ARG2
    5  2.100 -0.030  ASN
    6  2.100 -0.041  ASP
    7  2.150  0.085  CYS
    8  2.000  0.035  GLN1
    9  2.000 -0.032  GLN2
   10  2.000  0.035  GLU1
   11  2.000 -0.058  GLU2
   12  2.000  0.005  HIS1
   13  1.900  0.008  HIS2
   14  2.200  0.087  ILE
   15  2.200  0.082  LEU
   16  2.000  0.025  LYS1
   17  1.900 -0.074  LYS2
   18  1.990  0.040  MET1 
   19  2.100  0.048  MET2 
   20  2.100  0.040  PHE1
   21  2.200  0.079  PHE2
   22  1.900  0.050  PRO
   23  1.900 -0.003  SER
   24  1.900  0.031  THR
   25  1.990  0.040  TRP1
   26  2.200  0.093  TRP2
   27  2.100  0.050  TYR1
   28  2.200  0.024  TYR2
   29  1.990  0.077  VAL
   30  1.900 -0.018  N
   31  1.900 -0.018  O
   32  0.001  0.000  CA
